article_id,article_url,article_title,ground_truth_business,ground_truth_address,initial_business,initial_address,initial_confidence,initial_location,web_search_triggered,final_business,final_address,final_confidence,address_source,is_correct,match_reason,web_search_reasoning
0,https://jewelerssecurity.org/jewelry-store-worker-fires-shots-at-suspects-during-armed-robbery/,Jewelry store worker fires shots at subjects during armed robbery,,,Unknown,unknown,low,Other,True,Unknown,unknown,low,,False,,
1,https://jewelerssecurity.org/kensington-md-police-investigating-burglary-at-kensington-jewelry-store/,"KENSINGTON, MD- Police investigating burglary at Kensington jewelry store.",Raffie Jewelers,"3774 Howard Ave, Kensington, MD 20895",Call Now. Gold Jewelry,"3774 Howard Avenue, Kensington, MD 20895",high,"KENSINGTON, MD",True,Call Now. Gold Jewelry,"3774 Howard Avenue, Kensington, MD 20895",high,web_search_verification,True,All parts of truth address found in enhanced address,Address found via web search from high-quality source: https://www.yelp.com/biz/raffie-jewelers-kensington. The address is in the expected location. 
2,https://jewelerssecurity.org/atlanta-ga-tennessee-jewelry-stores-targeted-in-1-7-million-heist-spree-trio-sentenced/,"Atlanta, GA- Tennessee jewelry stores targeted in $1.7 million heist spree: trio sentenced.",,,Unknown,unknown,low,"Atlanta, GA",True,Unknown,unknown,low,,False,,
3,https://jewelerssecurity.org/westchester-county-ny-sledgehammer-wielding-ny-crooks-who-jacked-1-7-million-in-rolex-watches-jewelry-nabbed-in-nj/,"Westchester County, NY – Sledgehammer-wielding NY crooks who jacked $1.7 million in Rolex watches, jewelry nabbed in NJ.",,,Unknown,unknown,low,"Westchester County, NY",True,Unknown,unknown,low,,False,,
4,https://jewelerssecurity.org/woman-dies-during-armed-robbery-of-jewelry-store/,"Jeweler Shot and Killed in Sacramento, CA",Kim Tin Jewelry,"6830 Stockton Blvd, Suite 190, Sacramento, CA 95823",Unknown,unknown,low,"Jeweler Shot and Killed in Sacramento, CA",True,Unknown,unknown,low,,False,Enhanced address is still unknown,
5,https://jewelerssecurity.org/man-pleads-guilty-in-attacks-on-jewelers-in-costa-mesa-and-yorba-linda-california/,"Man Pleads Guilty in Attacks on Jewelers in Costa Mesa and Yorba Linda, California",,,Unknown,unknown,low,California,True,Unknown,unknown,low,,False,,
6,https://jewelerssecurity.org/san-diego-california-suspect-sought-in-distraction-theft-of-high-value-watch/,"San Diego, California – Suspect Sought in Distraction Theft of high value watch.",,,Unknown,unknown,low,"San Diego, CA",True,Unknown,unknown,low,,False,,
7,https://jewelerssecurity.org/brooklyn-resident-arrested-after-stealing-from-the-ja-new-york-jewelry-show-at-the-jacob-javits-center/,"Brooklyn, NY resident arrested after stealing from a jewelry trade show in New York City",,,Unknown,unknown,low,"Brooklyn, NY",True,Unknown,unknown,low,,False,,
8,https://jewelerssecurity.org/police-looking-for-three-suspects-involved-in-jewelry-store-robbery/,Police looking for three subjects involved in jewelry store robbery,,,Unknown,unknown,low,Other,True,Unknown,unknown,low,,False,,
9,https://jewelerssecurity.org/gastonia-nc-att-burglary-of-jewelry-kiosk/,"GASTONIA, NC – ATT. BURGLARY OF JEWELRY KIOSK.",Jewelry Kiosk at Eastridge Mall,"246 N New Hope Rd, Gastonia, NC 28054",unknown,"246 N New Hope Road, Gastonia, NC 28054",high,"GASTONIA, NC",True,unknown,"246 N New Hope Road, Gastonia, NC 28054",high,web_search_verification,True,Street match: 246 n,Address found via web search from high-quality source: https://www.facebook.com/EastridgeMall.net/. The business name matches the expected name. The address is in the expected location. 
