location,title,date,url,excerpt,source,keywords,is_theft_related,is_business_related,store_type,business_name,detailed_location
Other,Jewelry store worker fires shots at subjects during armed robbery,,https://jewelerssecurity.org/jewelry-store-worker-fires-shots-at-suspects-during-armed-robbery/,,Jewelers Security Alliance,"robbery,jewelry",True,True,,,
Other,"KENSINGTON, MD- Police investigating burglary at Kensington jewelry store.",,https://jewelerssecurity.org/kensington-md-police-investigating-burglary-at-kensington-jewelry-store/,"KENSINGTON, Md. Police in Montgomery County are investigating after suspects stole items from a Kensington jewelry store overnight Friday.",Jewelers Security Alliance,"stole,burglary,jewelry",True,True,,,
Georgia,"Atlanta, GA- Tennessee jewelry stores targeted in $1.7 million heist spree: trio sentenced.",,https://jewelerssecurity.org/atlanta-ga-tennessee-jewelry-stores-targeted-in-1-7-million-heist-spree-trio-sentenced/,"Atlanta, GA– Three men who orchestrated a multi-state jewelry store burglary spree, stealing approximately $1.7 million in merchandise, have been...",Jewelers Security Alliance,"burglary,jewelry",True,True,,,
Other,"Westchester County, NY – Sledgehammer-wielding NY crooks who jacked $1.7 million in Rolex watches, jewelry nabbed in NJ.",,https://jewelerssecurity.org/westchester-county-ny-sledgehammer-wielding-ny-crooks-who-jacked-1-7-million-in-rolex-watches-jewelry-nabbed-in-nj/,"Westchester County, NY- Two sledgehammer-wielding thugs who helped jack $1.7 million in jewelry and watches — including 70 Rolexes —...",Jewelers Security Alliance,"jewelry,watches,rolex",True,True,,,
California,"Jeweler Shot and Killed in Sacramento, CA",,https://jewelerssecurity.org/woman-dies-during-armed-robbery-of-jewelry-store/,,Jewelers Security Alliance,jeweler,True,True,,,
California,"Man Pleads Guilty in Attacks on Jewelers in Costa Mesa and Yorba Linda, California",,https://jewelerssecurity.org/man-pleads-guilty-in-attacks-on-jewelers-in-costa-mesa-and-yorba-linda-california/,,Jewelers Security Alliance,jewelers,True,True,,,
California,"San Diego, California – Suspect Sought in Distraction Theft of high value watch.",,https://jewelerssecurity.org/san-diego-california-suspect-sought-in-distraction-theft-of-high-value-watch/,"San Diego, CA- On November 21, 2024, a male customer entered a jewelry store and began browsing through the selection...",Jewelers Security Alliance,"theft,jewelry",True,True,,,
Other,"Brooklyn, NY resident arrested after stealing from a jewelry trade show in New York City",,https://jewelerssecurity.org/brooklyn-resident-arrested-after-stealing-from-the-ja-new-york-jewelry-show-at-the-jacob-javits-center/,"New York, New York � On Tuesday, October 31, 2023, the Bureau of Criminal Investigation (BCI) at New York State...",Jewelers Security Alliance,jewelry,True,True,,,
Other,Police looking for three subjects involved in jewelry store robbery,,https://jewelerssecurity.org/police-looking-for-three-suspects-involved-in-jewelry-store-robbery/,,Jewelers Security Alliance,"robbery,jewelry",True,True,,,
Other,"GASTONIA, NC – ATT. BURGLARY OF JEWELRY KIOSK.",,https://jewelerssecurity.org/gastonia-nc-att-burglary-of-jewelry-kiosk/,"On January 03, 2025, three unidentified male suspects approached and jumped the gate of the Jewelry Kiosk at the Eastridge...",Jewelers Security Alliance,"burglary,jewelry",True,True,,,
