Title,URL,Date,Excerpt,Source,City,Business Name,Location,Incident Date,Entry Method,Items Stolen,Estimated Value,Failed Security,Store Type,Lead Score,Reasoning
"9 arrested, accused in smash-and-grab jewelry heist at Fort Worth grocery, police say",https://www.nbcdfw.com/news/local/fort-worth-police-arrest-suspects-in-smash-and-grab-robbery/3771696/,2025-03-28,"Fort Worth Police said nine people including a 16-year-old, were arrested in connection to a smash-and-grab last Sunday. Detectives from other cities are investigating if the group is connected to similar crimes in Dallas and Houston.",NBC DFW,McKinney,"9 Arrested, Accused In Smash-And-Grab",McKinney - e people,2025-03-28,unknown,unknown,unknown,none reported,unknown,5,Score 5: Very recent (within 24 hours)
Police arrest nine people in connection with smash-and-grab robbery,https://www.nbcdfw.com/news/local/police-arrest-nine-people-in-connection-with-smash-and-grab-robbery/3771733/,2025-03-28,"Police say nine people, including a juvenile, were arrested in connection with a smash-and-grab robbery inside a Fort Worth grocery store. NBC 5’s Sophia Beausoleil reports investigators want to know if they group are tied to similar crimes across North Texas and Houston.",NBC DFW,McKinney,unknown,"McKinney - e people,",2025-03-28,unknown,unknown,unknown,none reported,unknown,5,Score 5: Very recent (within 24 hours)
3 women arrested in $20k organized retail theft scheme at a Plano Burlington,https://news/organized-retail-theft-scheme-plano-burlington,"February 10, 2025 1:03pm CST",,Fox 4 News,Plano,unknown,Plano,"February 10, 2025 1:03pm CST",unknown,unknown,unknown,none reported,unknown,3,Score 3: Recent incident
Plano police chase suspect in stolen SUV on Hwy. 75,https://news/plano-police-chase-suspect-stolen-suv-hwy-75,"February 10, 2025 11:41am CST",,Fox 4 News,Plano,unknown,Plano,"February 10, 2025 11:41am CST",unknown,unknown,unknown,none reported,unknown,3,Score 3: Recent incident
"Jeweler, his pregnant wife, and daughter experience home invasion robbery",https://jewelerssecurity.org/jeweler-his-pregnant-wife-and-daughter-experience-home-invasion-robbery/,,"Miami-Dade County, FL – March 17, 2025 – A jeweler with a large following on social media believes it may...",Jewelers Security Alliance,Las Vegas,unknown,Las Vegas - g on social media believes it may...,,unknown,unknown,unknown,none reported,unknown,3,Score 3: Recent incident
"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.",https://jewelerssecurity.org/las-vegas-nv-felon-sentenced-to-26-years-in-prison-for-las-vegas-armed-robberies-assault-of-federal-officer/,,"Las Vegas, NV– A Las Vegas man who has prior felony convictions was sentenced Monday in two separate cases involving...",Jewelers Security Alliance,Las Vegas,unknown,Las Vegas - two separate cases,,unknown,unknown,unknown,none reported,unknown,3,Score 3: Recent incident
"Jeweler, his pregnant wife, and daughter experience home invasion robbery",https://jewelerssecurity.org/,,"Jeweler, his pregnant wife, and daughter experience home invasion robberyContinue Reading",Jewelers Security Alliance,Las Vegas,unknown,Las Vegas - vasion robberycont,,unknown,unknown,unknown,none reported,unknown,3,Score 3: Recent incident
"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.",https://jewelerssecurity.org/,,"Las Vegas, NV- Felon sentenced to 26 years in prison for Las Vegas armed robberies, assault of federal officer.Continue Reading",Jewelers Security Alliance,Las Vegas,unknown,"Las Vegas - prison for las vegas armed robberies, assault of federal officer.cont",,unknown,unknown,unknown,none reported,unknown,3,Score 3: Recent incident
"$50,000 reward offered for arrest and conviction in $1 million Halloween robbery",https://jewelerssecurity.org/50000-reward-offered-for-arrest-and-conviction-in-1-million-halloween-robbery/,,"Maui, HI – On October 31, 2019, at approximately 12:15...",Jewelers Security Alliance,Las Vegas,unknown,Las Vegas - approxim,,unknown,unknown,unknown,none reported,unknown,3,Score 3: Recent incident
"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.",https://jewelerssecurity.org/downey-california-update-3-arrested-in-connection-with-armed-robbery-kidnapping-at-downey-jewelry-store/,,"Downey, California– Three men have been arrested in connection with a January armed robbery and kidnapping at a Downey jewelry...",Jewelers Security Alliance,California,"Downey, California -3 Arrested In Connection With Armed Robbery, Kidnapping At Downey Jewelry",California - connection with a january armed robbery and kidnapp,,unknown,jewelry,unknown,none reported,unknown,5,Score 5: Recent incident; Valuable items
