location,title,date,crime_type,method,target,estimated_value,num_suspects,characteristics,url
California,"CANOGA PARK, LOS ANGELES, CA-Thieves Target Canoga Park Jewelry Loan Store in Burglary Attempt.",,burglary,unknown,jewelry loan store,unknown,unknown,occurred early Saturday morning,https://jewelerssecurity.org/canoga-park-los-angeles-ca-thieves-target-canoga-park-jewelry-loan-store-in-burglary-attempt/
California,"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.",,"armed robbery, kidnapping",armed robbery,jewelry store,not mentioned,3,"suspects arrested, crime occurred in January",https://jewelerssecurity.org/downey-california-update-3-arrested-in-connection-with-armed-robbery-kidnapping-at-downey-jewelry-store/
California,"Monterey, CA- Caught on Camera: Monterey jeweler loses $20,000 in Valentine’s Day theft.",,theft,unknown,jewelry store,"$20,000",a pair,occurred on Valentine's Day,https://jewelerssecurity.org/monterey-ca-caught-on-camera-monterey-jeweler-loses-20000-in-valentines-day-theft/
California,"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.",,robbery,unknown,jewelry store,"$56,000",1,suspect is 18 years old,https://jewelerssecurity.org/san-carlos-ca-18-year-old-arrested-in-56000-jewelry-store-robbery/
California,"Los Angelas, CA- $100K in jewelry stolen in Violent Kidnapping, Robbery in Southern California",,robbery,violent robbery,individual,$100K in jewelry,two,"violent robbery of an individual, $100K in jewelry stolen, two male suspects wanted",https://jewelerssecurity.org/los-angelas-ca-100k-in-jewelry-stolen-in-violent-kidnapping-robbery-in-southern-california/
California,"Roseville, CA- 5 men, 1 teen arrested in $1.5 million jewelry robbery at Roseville’s Westfield Galleria mall.",,robbery,smash-and-grab,jewelry store,$1.5 million,5 men and 1 teenager,"large group of suspects, high value target, smash-and-grab robbery of a jewelry store in a mall",https://jewelerssecurity.org/roseville-ca-5-men-1-teen-arrested-in-1-5-million-jewelry-robbery-at-rosevilles-westfield-galleria-mall/
California,"Beverly Hills, CA- Five Arrested After Smash-and-Grab Robbery at Waldorf Astoria Retailer.",,robbery,smash-and-grab,luxury watch retailer,not specified,five,smash-and-grab robbery of a high-end retailer in an upscale area,https://jewelerssecurity.org/beverly-hills-ca-five-arrested-after-smash-and-grab-robbery-at-waldorf-astoria-retailer/
California,"Turlock, California – Surveillance video shows employees held at gunpoint in Turlock pawn shop robbery of jewelry.",,robbery,armed robbery (held at gunpoint),pawn shop jewelry,not specified,not specified,occurred during business hours with employees present,https://jewelerssecurity.org/turlock-california-surveillance-video-shows-employees-held-at-gunpoint-in-turlock-pawn-shop-robbery-of-jewelry/
California,"Camarillo, CA- GRAB AND RUN.",,theft,grab and run,jewelry store,not mentioned,1,The excerpt mentions the incident was a 'grab & run theft'. No other unique characteristics or patterns are provided.,https://jewelerssecurity.org/camarillo-ca-grab-and-run/
California,"Citrus, Heights, CA- GRAB AND RUN.",,theft,grab and run,store in Sunrise mall,not mentioned,1,suspect had previously visited the store,https://jewelerssecurity.org/citrus-heights-ca-grab-and-run/
